community,species,compound,flux,smetana
comp_0,Bacillus_circulans_NBRC_13626,4abut,1,0.21
comp_0,Solirubrobacter_soli_DSM_22325,4abut,-1,-0.21
comp_0,Bacillus_circulans_NBRC_13626,acald,1,0.04
comp_0,Solirubrobacter_soli_DSM_22325,acald,-1,-0.04
comp_0,Bacillus_circulans_NBRC_13626,ala__L,1,0.05
comp_0,Solirubrobacter_soli_DSM_22325,ala__L,-1,-0.05
comp_0,Bacillus_circulans_NBRC_13626,co2,1,0.13
comp_0,Solirubrobacter_soli_DSM_22325,co2,-1,-0.13
comp_0,Bacillus_circulans_NBRC_13626,etoh,1,0.02
comp_0,Solirubrobacter_soli_DSM_22325,etoh,-1,-0.02
comp_0,Bacillus_circulans_NBRC_13626,glyc,1,0.16
comp_0,Solirubrobacter_soli_DSM_22325,glyc,-1,-0.16
comp_0,Bacillus_circulans_NBRC_13626,glyclt,1,0.02
comp_0,Solirubrobacter_soli_DSM_22325,glyclt,-1,-0.02
comp_0,Bacillus_circulans_NBRC_13626,nh4,1,0.5
comp_0,Solirubrobacter_soli_DSM_22325,nh4,-1,-0.5
comp_0,Bacillus_circulans_NBRC_13626,ser__L,1,0.01
comp_0,Solirubrobacter_soli_DSM_22325,ser__L,-1,-0.01
comp_0,Solirubrobacter_soli_DSM_22325,4abut,1,0.00764400764400764
comp_0,Luteimonas_mephitis_DSM_12574,4abut,-1,-0.00764400764400764
comp_0,Solirubrobacter_soli_DSM_22325,fum,1,0.11083811083811083
comp_0,Luteimonas_mephitis_DSM_12574,fum,-1,-0.11083811083811083
comp_0,Solirubrobacter_soli_DSM_22325,his__L,1,0.3783783783783784
comp_0,Luteimonas_mephitis_DSM_12574,his__L,-1,-0.3783783783783784
comp_0,Solirubrobacter_soli_DSM_22325,lys__L,1,0.3783783783783784
comp_0,Luteimonas_mephitis_DSM_12574,lys__L,-1,-0.3783783783783784
comp_0,Solirubrobacter_soli_DSM_22325,man1p,1,0.0687960687960688
comp_0,Luteimonas_mephitis_DSM_12574,man1p,-1,-0.0687960687960688
comp_0,Solirubrobacter_soli_DSM_22325,nh4,1,0.01146601146601146
comp_0,Luteimonas_mephitis_DSM_12574,nh4,-1,-0.01146601146601146
comp_0,Solirubrobacter_soli_DSM_22325,rnam,1,0.11083811083811083
comp_0,Luteimonas_mephitis_DSM_12574,rnam,-1,-0.11083811083811083
comp_0,Solirubrobacter_soli_DSM_22325,xtsn,1,0.00382200382200382
comp_0,Luteimonas_mephitis_DSM_12574,xtsn,-1,-0.00382200382200382
comp_0,Arthrobacter_enclensis_NIO_1008,4abut,1,0.00436800436800436
comp_0,Luteimonas_mephitis_DSM_12574,4abut,-1,-0.00436800436800436
comp_0,Arthrobacter_enclensis_NIO_1008,4abz,1,0.082992082992083
comp_0,Luteimonas_mephitis_DSM_12574,4abz,-1,-0.082992082992083
comp_0,Arthrobacter_enclensis_NIO_1008,fum,1,0.06333606333606334
comp_0,Luteimonas_mephitis_DSM_12574,fum,-1,-0.06333606333606334
comp_0,Arthrobacter_enclensis_NIO_1008,his__L,1,0.21621621621621623
comp_0,Luteimonas_mephitis_DSM_12574,his__L,-1,-0.21621621621621623
comp_0,Arthrobacter_enclensis_NIO_1008,lys__L,1,0.21621621621621623
comp_0,Luteimonas_mephitis_DSM_12574,lys__L,-1,-0.21621621621621623
comp_0,Arthrobacter_enclensis_NIO_1008,nh4,1,0.00655200655200655
comp_0,Luteimonas_mephitis_DSM_12574,nh4,-1,-0.00655200655200655
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,fum,1,0.19000819000819005
comp_0,Luteimonas_mephitis_DSM_12574,fum,-1,-0.19000819000819005
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,lys__L,1,0.6486486486486487
comp_0,Luteimonas_mephitis_DSM_12574,lys__L,-1,-0.6486486486486487
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,man1p,1,0.11793611793611794
comp_0,Luteimonas_mephitis_DSM_12574,man1p,-1,-0.11793611793611794
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,nh4,1,0.01965601965601966
comp_0,Luteimonas_mephitis_DSM_12574,nh4,-1,-0.01965601965601966
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,rnam,1,0.19000819000819005
comp_0,Luteimonas_mephitis_DSM_12574,rnam,-1,-0.19000819000819005
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,val__L,1,0.6486486486486487
comp_0,Luteimonas_mephitis_DSM_12574,val__L,-1,-0.6486486486486487
comp_0,Lysobacter_dokdonensis_DS_58,4abut,1,0.00327600327600327
comp_0,Luteimonas_mephitis_DSM_12574,4abut,-1,-0.00327600327600327
comp_0,Lysobacter_dokdonensis_DS_58,glyc3p,1,0.00163800163800163
comp_0,Luteimonas_mephitis_DSM_12574,glyc3p,-1,-0.00163800163800163
comp_0,Lysobacter_dokdonensis_DS_58,lys__L,1,0.16216216216216217
comp_0,Luteimonas_mephitis_DSM_12574,lys__L,-1,-0.16216216216216217
comp_0,Lysobacter_dokdonensis_DS_58,nh4,1,0.00491400491400491
comp_0,Luteimonas_mephitis_DSM_12574,nh4,-1,-0.00491400491400491
comp_0,Lysobacter_dokdonensis_DS_58,rnam,1,0.0475020475020475
comp_0,Luteimonas_mephitis_DSM_12574,rnam,-1,-0.0475020475020475
comp_0,Geobacter_bemidjiensis_Bem,fum,1,0.05541905541905542
comp_0,Luteimonas_mephitis_DSM_12574,fum,-1,-0.05541905541905542
comp_0,Geobacter_bemidjiensis_Bem,lys__L,1,0.1891891891891892
comp_0,Luteimonas_mephitis_DSM_12574,lys__L,-1,-0.1891891891891892
comp_0,Geobacter_bemidjiensis_Bem,nh4,1,0.00573300573300573
comp_0,Luteimonas_mephitis_DSM_12574,nh4,-1,-0.00573300573300573
comp_0,Edaphobacter_aggregans_DSM_19364,4abut,1,0.00546000546000546
comp_0,Luteimonas_mephitis_DSM_12574,4abut,-1,-0.00546000546000546
comp_0,Edaphobacter_aggregans_DSM_19364,4abz,1,0.10374010374010374
comp_0,Luteimonas_mephitis_DSM_12574,4abz,-1,-0.10374010374010374
comp_0,Edaphobacter_aggregans_DSM_19364,lys__L,1,0.2702702702702703
comp_0,Luteimonas_mephitis_DSM_12574,lys__L,-1,-0.2702702702702703
comp_0,Edaphobacter_aggregans_DSM_19364,nh4,1,0.00819000819000819
comp_0,Luteimonas_mephitis_DSM_12574,nh4,-1,-0.00819000819000819
comp_0,Edaphobacter_aggregans_DSM_19364,rnam,1,0.07917007917007918
comp_0,Luteimonas_mephitis_DSM_12574,rnam,-1,-0.07917007917007918
comp_0,Arenimonas_oryziterrae_DSM_21050_YC6267,4abz,1,0.06224406224406224
comp_0,Luteimonas_mephitis_DSM_12574,4abz,-1,-0.06224406224406224
comp_0,Arenimonas_oryziterrae_DSM_21050_YC6267,fum,1,0.0475020475020475
comp_0,Luteimonas_mephitis_DSM_12574,fum,-1,-0.0475020475020475
comp_0,Arenimonas_oryziterrae_DSM_21050_YC6267,nh4,1,0.00491400491400491
comp_0,Luteimonas_mephitis_DSM_12574,nh4,-1,-0.00491400491400491
comp_0,Arenimonas_oryziterrae_DSM_21050_YC6267,rnam,1,0.0475020475020475
comp_0,Luteimonas_mephitis_DSM_12574,rnam,-1,-0.0475020475020475
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,fum,1,0.12667212667212668
comp_0,Luteimonas_mephitis_DSM_12574,fum,-1,-0.12667212667212668
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,his__L,1,0.43243243243243246
comp_0,Luteimonas_mephitis_DSM_12574,his__L,-1,-0.43243243243243246
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,lys__L,1,0.43243243243243246
comp_0,Luteimonas_mephitis_DSM_12574,lys__L,-1,-0.43243243243243246
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,nh4,1,0.0131040131040131
comp_0,Luteimonas_mephitis_DSM_12574,nh4,-1,-0.0131040131040131
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,rib__D,1,0.34944034944034946
comp_0,Luteimonas_mephitis_DSM_12574,rib__D,-1,-0.34944034944034946
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,rnam,1,0.12667212667212668
comp_0,Luteimonas_mephitis_DSM_12574,rnam,-1,-0.12667212667212668
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,xtsn,1,0.00436800436800436
comp_0,Luteimonas_mephitis_DSM_12574,xtsn,-1,-0.00436800436800436
comp_0,Bacillus_circulans_NBRC_13626,12ppd__R,1,0.07425607425607426
comp_0,Luteimonas_mephitis_DSM_12574,12ppd__R,-1,-0.07425607425607426
comp_0,Bacillus_circulans_NBRC_13626,4abut,1,0.00928200928200928
comp_0,Luteimonas_mephitis_DSM_12574,4abut,-1,-0.00928200928200928
comp_0,Bacillus_circulans_NBRC_13626,his__L,1,0.4594594594594595
comp_0,Luteimonas_mephitis_DSM_12574,his__L,-1,-0.4594594594594595
comp_0,Bacillus_circulans_NBRC_13626,lys__L,1,0.4594594594594595
comp_0,Luteimonas_mephitis_DSM_12574,lys__L,-1,-0.4594594594594595
comp_0,Bacillus_circulans_NBRC_13626,nh4,1,0.01392301392301392
comp_0,Luteimonas_mephitis_DSM_12574,nh4,-1,-0.01392301392301392
comp_0,Bacillus_circulans_NBRC_13626,val__L,1,0.4594594594594595
comp_0,Luteimonas_mephitis_DSM_12574,val__L,-1,-0.4594594594594595
comp_0,Solirubrobacter_soli_DSM_22325,4abut,1,0.04235294117647059
comp_0,Arthrobacter_enclensis_NIO_1008,4abut,-1,-0.04235294117647059
comp_0,Solirubrobacter_soli_DSM_22325,abt__L,1,0.0188235294117647
comp_0,Arthrobacter_enclensis_NIO_1008,abt__L,-1,-0.0188235294117647
comp_0,Solirubrobacter_soli_DSM_22325,acac,1,0.05411764705882353
comp_0,Arthrobacter_enclensis_NIO_1008,acac,-1,-0.05411764705882353
comp_0,Solirubrobacter_soli_DSM_22325,acald,1,0.00470588235294117
comp_0,Arthrobacter_enclensis_NIO_1008,acald,-1,-0.00470588235294117
comp_0,Solirubrobacter_soli_DSM_22325,ala__D,1,0.00705882352941176
comp_0,Arthrobacter_enclensis_NIO_1008,ala__D,-1,-0.00705882352941176
comp_0,Solirubrobacter_soli_DSM_22325,arab__L,1,0.02352941176470588
comp_0,Arthrobacter_enclensis_NIO_1008,arab__L,-1,-0.02352941176470588
comp_0,Solirubrobacter_soli_DSM_22325,arg__L,1,0.00235294117647058
comp_0,Arthrobacter_enclensis_NIO_1008,arg__L,-1,-0.00235294117647058
comp_0,Solirubrobacter_soli_DSM_22325,his__L,1,0.00705882352941176
comp_0,Arthrobacter_enclensis_NIO_1008,his__L,-1,-0.00705882352941176
comp_0,Solirubrobacter_soli_DSM_22325,mal__L,1,0.00235294117647058
comp_0,Arthrobacter_enclensis_NIO_1008,mal__L,-1,-0.00235294117647058
comp_0,Solirubrobacter_soli_DSM_22325,ser__D,1,0.00941176470588235
comp_0,Arthrobacter_enclensis_NIO_1008,ser__D,-1,-0.00941176470588235
comp_0,Solirubrobacter_soli_DSM_22325,ser__L,1,0.00705882352941176
comp_0,Arthrobacter_enclensis_NIO_1008,ser__L,-1,-0.00705882352941176
comp_0,Lysobacter_dokdonensis_DS_58,4abut,1,0.04235294117647059
comp_0,Arthrobacter_enclensis_NIO_1008,4abut,-1,-0.04235294117647059
comp_0,Lysobacter_dokdonensis_DS_58,acac,1,0.05411764705882353
comp_0,Arthrobacter_enclensis_NIO_1008,acac,-1,-0.05411764705882353
comp_0,Lysobacter_dokdonensis_DS_58,acald,1,0.00470588235294117
comp_0,Arthrobacter_enclensis_NIO_1008,acald,-1,-0.00470588235294117
comp_0,Lysobacter_dokdonensis_DS_58,ala__D,1,0.00705882352941176
comp_0,Arthrobacter_enclensis_NIO_1008,ala__D,-1,-0.00705882352941176
comp_0,Lysobacter_dokdonensis_DS_58,arg__L,1,0.00235294117647058
comp_0,Arthrobacter_enclensis_NIO_1008,arg__L,-1,-0.00235294117647058
comp_0,Lysobacter_dokdonensis_DS_58,glyc3p,1,0.01647058823529412
comp_0,Arthrobacter_enclensis_NIO_1008,glyc3p,-1,-0.01647058823529412
comp_0,Edaphobacter_aggregans_DSM_19364,4abut,1,0.08470588235294119
comp_0,Arthrobacter_enclensis_NIO_1008,4abut,-1,-0.08470588235294119
comp_0,Edaphobacter_aggregans_DSM_19364,4abz,1,0.08000000000000002
comp_0,Arthrobacter_enclensis_NIO_1008,4abz,-1,-0.08000000000000002
comp_0,Edaphobacter_aggregans_DSM_19364,acald,1,0.00941176470588235
comp_0,Arthrobacter_enclensis_NIO_1008,acald,-1,-0.00941176470588235
comp_0,Edaphobacter_aggregans_DSM_19364,ala__D,1,0.01411764705882353
comp_0,Arthrobacter_enclensis_NIO_1008,ala__D,-1,-0.01411764705882353
comp_0,Edaphobacter_aggregans_DSM_19364,arg__L,1,0.00470588235294117
comp_0,Arthrobacter_enclensis_NIO_1008,arg__L,-1,-0.00470588235294117
comp_0,Edaphobacter_aggregans_DSM_19364,gly,1,0.00470588235294117
comp_0,Arthrobacter_enclensis_NIO_1008,gly,-1,-0.00470588235294117
comp_0,Edaphobacter_aggregans_DSM_19364,ser__D,1,0.0188235294117647
comp_0,Arthrobacter_enclensis_NIO_1008,ser__D,-1,-0.0188235294117647
comp_0,Edaphobacter_aggregans_DSM_19364,ser__L,1,0.01411764705882353
comp_0,Arthrobacter_enclensis_NIO_1008,ser__L,-1,-0.01411764705882353
comp_0,Arenimonas_oryziterrae_DSM_21050_YC6267,4abz,1,0.04000000000000001
comp_0,Arthrobacter_enclensis_NIO_1008,4abz,-1,-0.04000000000000001
comp_0,Arenimonas_oryziterrae_DSM_21050_YC6267,acald,1,0.00470588235294117
comp_0,Arthrobacter_enclensis_NIO_1008,acald,-1,-0.00470588235294117
comp_0,Arenimonas_oryziterrae_DSM_21050_YC6267,arg__L,1,0.00235294117647058
comp_0,Arthrobacter_enclensis_NIO_1008,arg__L,-1,-0.00235294117647058
comp_0,Arenimonas_oryziterrae_DSM_21050_YC6267,mal__L,1,0.00235294117647058
comp_0,Arthrobacter_enclensis_NIO_1008,mal__L,-1,-0.00235294117647058
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,acald,1,0.00470588235294117
comp_0,Arthrobacter_enclensis_NIO_1008,acald,-1,-0.00470588235294117
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,ala__D,1,0.00705882352941176
comp_0,Arthrobacter_enclensis_NIO_1008,ala__D,-1,-0.00705882352941176
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,arg__L,1,0.00235294117647058
comp_0,Arthrobacter_enclensis_NIO_1008,arg__L,-1,-0.00235294117647058
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,his__L,1,0.00705882352941176
comp_0,Arthrobacter_enclensis_NIO_1008,his__L,-1,-0.00705882352941176
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,mal__L,1,0.00235294117647058
comp_0,Arthrobacter_enclensis_NIO_1008,mal__L,-1,-0.00235294117647058
comp_0,Solirubrobacter_soli_DSM_22325,4abut,1,0.12
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,4abut,-1,-0.12
comp_0,Solirubrobacter_soli_DSM_22325,acald,1,0.2733333333333333
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,acald,-1,-0.2733333333333333
comp_0,Solirubrobacter_soli_DSM_22325,etoh,1,0.02666666666666666
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,etoh,-1,-0.02666666666666666
comp_0,Solirubrobacter_soli_DSM_22325,glu__L,1,0.00666666666666666
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,glu__L,-1,-0.00666666666666666
comp_0,Solirubrobacter_soli_DSM_22325,lac__L,1,0.01333333333333333
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,lac__L,-1,-0.01333333333333333
comp_0,Solirubrobacter_soli_DSM_22325,man1p,1,0.02666666666666666
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,man1p,-1,-0.02666666666666666
comp_0,Solirubrobacter_soli_DSM_22325,nh4,1,0.1933333333333333
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,nh4,-1,-0.1933333333333333
comp_0,Solirubrobacter_soli_DSM_22325,ser__D,1,0.00666666666666666
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,ser__D,-1,-0.00666666666666666
comp_0,Geobacter_bemidjiensis_Bem,3oxoadp,1,0.03333333333333333
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,3oxoadp,-1,-0.03333333333333333
comp_0,Geobacter_bemidjiensis_Bem,acald,1,0.2733333333333333
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,acald,-1,-0.2733333333333333
comp_0,Geobacter_bemidjiensis_Bem,bz,1,0.3333333333333333
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,bz,-1,-0.3333333333333333
comp_0,Geobacter_bemidjiensis_Bem,etoh,1,0.02666666666666666
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,etoh,-1,-0.02666666666666666
comp_0,Geobacter_bemidjiensis_Bem,lac__L,1,0.01333333333333333
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,lac__L,-1,-0.01333333333333333
comp_0,Geobacter_bemidjiensis_Bem,nh4,1,0.1933333333333333
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,nh4,-1,-0.1933333333333333
comp_0,Edaphobacter_aggregans_DSM_19364,4abut,1,0.12
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,4abut,-1,-0.12
comp_0,Edaphobacter_aggregans_DSM_19364,acald,1,0.2733333333333333
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,acald,-1,-0.2733333333333333
comp_0,Edaphobacter_aggregans_DSM_19364,etoh,1,0.02666666666666666
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,etoh,-1,-0.02666666666666666
comp_0,Edaphobacter_aggregans_DSM_19364,glu__L,1,0.00666666666666666
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,glu__L,-1,-0.00666666666666666
comp_0,Edaphobacter_aggregans_DSM_19364,nh4,1,0.1933333333333333
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,nh4,-1,-0.1933333333333333
comp_0,Edaphobacter_aggregans_DSM_19364,ser__D,1,0.00666666666666666
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,ser__D,-1,-0.00666666666666666
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,acald,1,0.2733333333333333
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,acald,-1,-0.2733333333333333
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,etoh,1,0.02666666666666666
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,etoh,-1,-0.02666666666666666
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,glu__L,1,0.00666666666666666
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,glu__L,-1,-0.00666666666666666
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,lac__L,1,0.01333333333333333
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,lac__L,-1,-0.01333333333333333
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,nh4,1,0.1933333333333333
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,nh4,-1,-0.1933333333333333
