community,species,metabolites,fluxes,smetana
coop_0,Rothia_nasimurium_PT_32,acald,1,0.0128
coop_0,Exiguobacterium_sibiricum_255_15,acald,-1,-0.0128
coop_0,Rothia_nasimurium_PT_32,ala__D,1,0.0096
coop_0,Exiguobacterium_sibiricum_255_15,ala__D,-1,-0.0096
coop_0,Rothia_nasimurium_PT_32,ala__L,1,0.0352
coop_0,Exiguobacterium_sibiricum_255_15,ala__L,-1,-0.0352
coop_0,Rothia_nasimurium_PT_32,gly,1,0.0128
coop_0,Exiguobacterium_sibiricum_255_15,gly,-1,-0.0128
coop_0,Rothia_nasimurium_PT_32,glyc,1,0.2368
coop_0,Exiguobacterium_sibiricum_255_15,glyc,-1,-0.2368
coop_0,Rothia_nasimurium_PT_32,h2s,1,0.1024
coop_0,Exiguobacterium_sibiricum_255_15,h2s,-1,-0.1024
coop_0,Rothia_nasimurium_PT_32,leu__L,1,0.32
coop_0,Exiguobacterium_sibiricum_255_15,leu__L,-1,-0.32
coop_0,Rothia_nasimurium_PT_32,nh4,1,0.0384
coop_0,Exiguobacterium_sibiricum_255_15,nh4,-1,-0.0384
coop_0,Rothia_nasimurium_PT_32,orn,1,0.0224
coop_0,Exiguobacterium_sibiricum_255_15,orn,-1,-0.0224
coop_0,Rothia_nasimurium_PT_32,pro__L,1,0.0032
coop_0,Exiguobacterium_sibiricum_255_15,pro__L,-1,-0.0032
coop_0,Rothia_nasimurium_PT_32,ser__D,1,0.0032
coop_0,Exiguobacterium_sibiricum_255_15,ser__D,-1,-0.0032
coop_0,Rothia_nasimurium_PT_32,thr__L,1,0.32
coop_0,Exiguobacterium_sibiricum_255_15,thr__L,-1,-0.32
coop_0,Prevotella_scopos_JCM_17725_W2052,acald,1,0.0064
coop_0,Exiguobacterium_sibiricum_255_15,acald,-1,-0.0064
coop_0,Prevotella_scopos_JCM_17725_W2052,ala__D,1,0.0048
coop_0,Exiguobacterium_sibiricum_255_15,ala__D,-1,-0.0048
coop_0,Prevotella_scopos_JCM_17725_W2052,ala__L,1,0.0176
coop_0,Exiguobacterium_sibiricum_255_15,ala__L,-1,-0.0176
coop_0,Prevotella_scopos_JCM_17725_W2052,etoh,1,0.008
coop_0,Exiguobacterium_sibiricum_255_15,etoh,-1,-0.008
coop_0,Prevotella_scopos_JCM_17725_W2052,glu__L,1,0.0304
coop_0,Exiguobacterium_sibiricum_255_15,glu__L,-1,-0.0304
coop_0,Prevotella_scopos_JCM_17725_W2052,gly,1,0.0064
coop_0,Exiguobacterium_sibiricum_255_15,gly,-1,-0.0064
coop_0,Prevotella_scopos_JCM_17725_W2052,glyc,1,0.1184
coop_0,Exiguobacterium_sibiricum_255_15,glyc,-1,-0.1184
coop_0,Prevotella_scopos_JCM_17725_W2052,h2s,1,0.0512
coop_0,Exiguobacterium_sibiricum_255_15,h2s,-1,-0.0512
coop_0,Prevotella_scopos_JCM_17725_W2052,nh4,1,0.0192
coop_0,Exiguobacterium_sibiricum_255_15,nh4,-1,-0.0192
coop_0,Prevotella_scopos_JCM_17725_W2052,ser__D,1,0.0016
coop_0,Exiguobacterium_sibiricum_255_15,ser__D,-1,-0.0016
coop_0,Corynebacterium_simulans_PES1,acald,1,0.0128
coop_0,Exiguobacterium_sibiricum_255_15,acald,-1,-0.0128
coop_0,Corynebacterium_simulans_PES1,ala__D,1,0.0096
coop_0,Exiguobacterium_sibiricum_255_15,ala__D,-1,-0.0096
coop_0,Corynebacterium_simulans_PES1,ala__L,1,0.0352
coop_0,Exiguobacterium_sibiricum_255_15,ala__L,-1,-0.0352
coop_0,Corynebacterium_simulans_PES1,glu__L,1,0.0608
coop_0,Exiguobacterium_sibiricum_255_15,glu__L,-1,-0.0608
coop_0,Corynebacterium_simulans_PES1,glyc,1,0.2368
coop_0,Exiguobacterium_sibiricum_255_15,glyc,-1,-0.2368
coop_0,Corynebacterium_simulans_PES1,glyclt,1,0.0064
coop_0,Exiguobacterium_sibiricum_255_15,glyclt,-1,-0.0064
coop_0,Corynebacterium_simulans_PES1,h2s,1,0.1024
coop_0,Exiguobacterium_sibiricum_255_15,h2s,-1,-0.1024
coop_0,Corynebacterium_simulans_PES1,leu__L,1,0.32
coop_0,Exiguobacterium_sibiricum_255_15,leu__L,-1,-0.32
coop_0,Corynebacterium_simulans_PES1,nh4,1,0.0384
coop_0,Exiguobacterium_sibiricum_255_15,nh4,-1,-0.0384
coop_0,Corynebacterium_simulans_PES1,orn,1,0.0224
coop_0,Exiguobacterium_sibiricum_255_15,orn,-1,-0.0224
coop_0,Corynebacterium_simulans_PES1,pro__L,1,0.0032
coop_0,Exiguobacterium_sibiricum_255_15,pro__L,-1,-0.0032
coop_0,Corynebacterium_simulans_PES1,thr__L,1,0.32
coop_0,Exiguobacterium_sibiricum_255_15,thr__L,-1,-0.32
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,acald,1,0.0064
coop_0,Exiguobacterium_sibiricum_255_15,acald,-1,-0.0064
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,ala__D,1,0.0048
coop_0,Exiguobacterium_sibiricum_255_15,ala__D,-1,-0.0048
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,ala__L,1,0.0176
coop_0,Exiguobacterium_sibiricum_255_15,ala__L,-1,-0.0176
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,etoh,1,0.008
coop_0,Exiguobacterium_sibiricum_255_15,etoh,-1,-0.008
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,glu__L,1,0.0304
coop_0,Exiguobacterium_sibiricum_255_15,glu__L,-1,-0.0304
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,glyc,1,0.1184
coop_0,Exiguobacterium_sibiricum_255_15,glyc,-1,-0.1184
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,h2s,1,0.0512
coop_0,Exiguobacterium_sibiricum_255_15,h2s,-1,-0.0512
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,nh4,1,0.0192
coop_0,Exiguobacterium_sibiricum_255_15,nh4,-1,-0.0192
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,orn,1,0.0112
coop_0,Exiguobacterium_sibiricum_255_15,orn,-1,-0.0112
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,pro__L,1,0.0016
coop_0,Exiguobacterium_sibiricum_255_15,pro__L,-1,-0.0016
coop_0,Moraxella_osloensis_CCUG_350,acald,1,0.0064
coop_0,Exiguobacterium_sibiricum_255_15,acald,-1,-0.0064
coop_0,Moraxella_osloensis_CCUG_350,ala__D,1,0.0048
coop_0,Exiguobacterium_sibiricum_255_15,ala__D,-1,-0.0048
coop_0,Moraxella_osloensis_CCUG_350,ala__L,1,0.0176
coop_0,Exiguobacterium_sibiricum_255_15,ala__L,-1,-0.0176
coop_0,Moraxella_osloensis_CCUG_350,etoh,1,0.008
coop_0,Exiguobacterium_sibiricum_255_15,etoh,-1,-0.008
coop_0,Moraxella_osloensis_CCUG_350,glyc,1,0.1184
coop_0,Exiguobacterium_sibiricum_255_15,glyc,-1,-0.1184
coop_0,Moraxella_osloensis_CCUG_350,h2s,1,0.0512
coop_0,Exiguobacterium_sibiricum_255_15,h2s,-1,-0.0512
coop_0,Moraxella_osloensis_CCUG_350,nh4,1,0.0192
coop_0,Exiguobacterium_sibiricum_255_15,nh4,-1,-0.0192
coop_0,Moraxella_osloensis_CCUG_350,orn,1,0.0112
coop_0,Exiguobacterium_sibiricum_255_15,orn,-1,-0.0112
coop_0,Rothia_dentocariosa_ATCC_17931,ala__D,1,0.0084
coop_0,Exiguobacterium_sibiricum_255_15,ala__D,-1,-0.0084
coop_0,Rothia_dentocariosa_ATCC_17931,ala__L,1,0.0308
coop_0,Exiguobacterium_sibiricum_255_15,ala__L,-1,-0.0308
coop_0,Rothia_dentocariosa_ATCC_17931,glu__L,1,0.0532
coop_0,Exiguobacterium_sibiricum_255_15,glu__L,-1,-0.0532
coop_0,Rothia_dentocariosa_ATCC_17931,gly,1,0.0112
coop_0,Exiguobacterium_sibiricum_255_15,gly,-1,-0.0112
coop_0,Rothia_dentocariosa_ATCC_17931,glyc,1,0.2072
