metabolites,species,fluxes
ac,A1R12,0.928235949313603
ac,m_3C02,-10.9282359493136
acald,A1R12,2.02604900874253
acald,m_3C02,-2.02604900874253
ala__D,A1R12,1.19018798185966
ala__D,m_3C02,-1.19018798185966
ala__L,A1R12,1.76479054586701
ala__L,m_3C02,-1.76479054586701
arg__L,A1R12,-0.00286450592294621
arg__L,m_3C02,0.00286450592294621
asp__L,A1R12,-0.0490978750356334
asp__L,m_3C02,0.0490978750356334
co2,A1R12,0.73489012966211
co2,m_3C02,0.960342473929608
etoh,A1R12,-3.12918410183024
etoh,m_3C02,3.12918410183024
glu__L,A1R12,-0.00917455948375417
glu__L,m_3C02,0.00917455948375417
gly,A1R12,-0.014527505180108
gly,m_3C02,0.014527505180108
gua,A1R12,-0.00234898743767212
gua,m_3C02,0.00234898743767212
h2s,A1R12,0.103227399521348
h2s,m_3C02,-0.103227399521348
ile__L,A1R12,0.121880613478299
ile__L,m_3C02,-0.121880613478299
leu__L,A1R12,0.168318623977059
leu__L,m_3C02,-0.168318623977059
lys__L,A1R12,-0.00332323631817002
lys__L,m_3C02,0.00332323631817002
pyr,A1R12,-3.84909704792376
pyr,m_3C02,3.84909704792376
ser__L,A1R12,-0.00353270535094735
ser__L,m_3C02,0.00353270535094735
thr__L,A1R12,-0.126258448401242
thr__L,m_3C02,0.126258448401242
ura,A1R12,-0.00320348162486137
ura,m_3C02,0.00320348162486137
val__L,A1R12,0.198448349595491
val__L,m_3C02,-0.198448349595491
