metabolites,species,fluxes
4abut,A1R12,-0.00667459552441205
4abut,m_3D05,0.00667459552441205
ac,A1R12,11.0526967152658
ac,m_3D05,-11.0526967152658
acald,A1R12,-13.8961398173844
acald,m_3D05,13.8961398173844
ala__D,A1R12,1.56310271271943
ala__D,m_3D05,-1.56310271271943
ala__L,A1R12,2.77391160357566
ala__L,m_3D05,-2.77391160357566
asp__L,A1R12,-0.0501990704820063
asp__L,m_3D05,0.0501990704820063
cit,A1R12,-10
co2,A1R12,12.7861387605686
co2,m_3D05,22.0753124374709
etoh,A1R12,5.01018735553801
etoh,m_3D05,-5.01018735553801
for,m_3D05,0.00142189462295417
glu__L,A1R12,9.98892935359174
glu__L,m_3D05,-9.98892935359174
gly,A1R12,-0.0215874249394196
gly,m_3D05,0.0215874249394196
gthox,A1R12,1.98547551707322
gthox,m_3D05,-1.98547551707322
gthrd,A1R12,-3.97095103414644
gthrd,m_3D05,3.97095103414644
h2o2,A1R12,-1.98547551707322
h2o2,m_3D05,1.98547551707322
h2s,A1R12,0.142762161807696
h2s,m_3D05,-0.142762161807696
ile__L,A1R12,0.0352568438161915
ile__L,m_3D05,-0.0352568438161915
leu__L,A1R12,-0.00436302779653003
leu__L,m_3D05,0.00436302779653003
pyr,A1R12,-7.59652888901144
pyr,m_3D05,7.59652888901144
ser__L,A1R12,-0.00353270534752104
ser__L,m_3D05,0.00353270534752104
thr__L,A1R12,-0.0396346787392031
thr__L,m_3D05,0.0396346787392031
val__L,A1R12,0.51113774859373
val__L,m_3D05,-0.51113774859373
