metabolites,species,fluxes
ac,B3M02,0.259055663844549
ac,C3R12,-0.259055663844549
acald,B3M02,-1.8903870991447
acald,C3R12,1.8903870991447
ala__D,B3M02,0.398832204607738
ala__D,C3R12,-0.398832204607738
ala__L,B3M02,1.06236421362755
ala__L,C3R12,-1.06236421362755
arg__L,B3M02,-0.250075933280331
arg__L,C3R12,0.250075933280331
asp__L,B3M02,-1.67847666480405
asp__L,C3R12,1.67847666480405
co2,B3M02,-1.43235033938381
co2,C3R12,1.43498934152428
etoh,B3M02,5.51970867035762
etoh,C3R12,-5.51970867035762
f6p,C3R12,-10
for,B3M02,0.534470434707998
for,C3R12,-0.534470434707998
glu__L,B3M02,-1.09122511825854
glu__L,C3R12,1.09122511825854
gly,B3M02,1.93951872050663
gly,C3R12,-1.93951872050663
glyald,B3M02,-7.21240885456999
glyald,C3R12,7.21240885456999
glyc,B3M02,4.62202457814348
glyc,C3R12,-4.62202457814348
h2s,B3M02,0.138129331171209
h2s,C3R12,-0.138129331171209
ile__L,B3M02,0.163089331907617
ile__L,C3R12,-0.163089331907617
leu__L,B3M02,-0.380899281578679
leu__L,C3R12,0.380899281578679
orn,B3M02,0.250075933280186
orn,C3R12,-0.250075933280186
phe__L,B3M02,-0.15663140916313
phe__L,C3R12,0.15663140916313
pro__L,B3M02,0.124089892110042
pro__L,C3R12,-0.124089892110042
pyr,B3M02,-7.92018070073483
pyr,C3R12,7.92018070073483
ser__L,B3M02,-0.411049724539557
ser__L,C3R12,0.411049724539557
thr__L,B3M02,0.142407963899121
thr__L,C3R12,-0.142407963899121
trp__L,B3M02,-0.0480576427876813
trp__L,C3R12,0.0480576427876813
tyr__L,B3M02,-0.116583514414266
tyr__L,C3R12,0.116583514414266
ura,B3M02,-0.279669052406648
ura,C3R12,0.279669052406648
val__L,B3M02,-0.358247267707274
val__L,C3R12,0.358247267707274
